"id","imdbID","Title","Year","imdbRating","imdbVotes","Rated","Runtime","genres","r1","r2","r3"
"1","tt0114709","Toy Story","1995",8.3,"599356","G","81 min","Adventure|Animation|Children|Comedy|Fantasy","tt0120363","tt0120623","tt0317219"
"2","tt0113497","Jumanji","1995",6.9,"200508","PG","104 min","Adventure|Children|Fantasy","tt0097523","tt0102803","tt0132477"
"3","tt0113228","Grumpier Old Men","1995",6.6,"18747","PG-13","101 min","Comedy|Romance","tt0091790","tt0107050","tt0094006"
"4","tt0114885","Waiting to Exhale","1995",5.6,"7265","R","124 min","Comedy|Drama|Romance","tt0361620","tt0119313","tt0120703"
"5","tt0113041","Father of the Bride Part II","1995",5.9,"25938","PG","106 min","Comedy","tt0101862","tt0092605","tt0110093"
"6","tt0113277","Heat","1995",8.2,"420056","R","170 min","Action|Crime|Thriller","tt0083190","tt2717822","tt0104691"
"7","tt0114319","Sabrina","1995",6.2,"29244","PG","127 min","Comedy|Romance","tt0084805","tt0079100","tt0089755"
"8","tt0112302","Tom and Huck","1995",5.6,"7224","PG","97 min","Adventure|Children","tt0118755","tt0101452","tt0356634"
"9","tt0114576","Sudden Death","1995",5.7,"25137","R","111 min","Action","tt0111438","tt0100224","tt0091875"
"10","tt0113189","GoldenEye","1995",7.2,"195920","PG-13","130 min","Action|Adventure|Thriller","tt0381061","tt0120746","tt0190865"
"11","tt0112346","The American President","1995",6.8,"42208","PG-13","114 min","Comedy|Drama|Romance","tt0090103","tt0398375","tt0098635"
"12","tt0112896","Dracula: Dead and Loving It","1995",5.8,"29536","PG-13","88 min","Comedy|Horror","tt0107977","tt0100475","tt0072431"
"13","tt0112453","Balto","1995",7.1,"29480","G","78 min","Adventure|Animation|Children","tt0101329","tt0108526","tt0110357"
"14","tt0113987","Nixon","1995",7.1,"23645","R","192 min","Drama","tt0107096","tt0101761","tt0102138"
"15","tt0112760","Cutthroat Island","1995",5.6,"20647","PG-13","124 min","Action|Adventure|Romance","tt0098987","tt0106582","tt0116908"
"16","tt0112641","Casino","1995",8.2,"323159","R","178 min","Crime|Drama","tt0099685","tt0081398","tt0070379"
"17","tt0114388","Sense and Sensibility","1995",7.7,"76082","PG","136 min","Drama|Romance","tt0111797","tt0134154","tt0190332"
"18","tt0113101","Four Rooms","1995",6.7,"76577","R","98 min","Comedy","tt0401792","tt0462322","tt0116367"
"19","tt0112281","Ace Ventura: When Nature Calls","1995",6.3,"156508","PG-13","90 min","Comedy","tt0240468","tt0119807","tt0112760"
"20","tt0113845","Money Train","1995",5.6,"31657","R","110 min","Action|Comedy|Crime|Drama|Thriller","tt0098524","tt0094035","tt0102945"
"21","tt0113161","Get Shorty","1995",6.9,"61884","R","105 min","Comedy|Crime|Thriller","tt0106220","tt0106941","tt0111127"
"22","tt0112722","Copycat","1995",6.6,"41514","R","123 min","Crime|Drama|Horror|Mystery|Thriller","tt0108185","tt0114369","tt0114814"
"23","tt0112401","Assassins","1995",6.3,"61466","R","132 min","Action|Crime|Thriller","tt0122151","tt0093409","tt0097733"
"24","tt0114168","Powder","1995",6.5,"23830","PG-13","111 min","Drama|Sci-Fi","tt0145893","tt0259288","tt0452637"
"25","tt0113627","Leaving Las Vegas","1995",7.6,"91469","R","111 min","Drama|Romance","tt0109340","tt0107611","tt0126859"
"26","tt0114057","Othello","1995",7,"7299","R","123 min","Drama","tt0278500","tt1235124","tt0109836"
"27","tt0114011","Now and Then","1995",6.7,"21107","PG-13","100 min","Children|Drama","tt0142201","tt0112346","tt0113347"
"28","tt0114117","Persuasion","1995",7.7,"8758","PG","107 min","Drama|Romance","tt0125439","tt0375735","tt0489327"
"29","tt0112682","The City of Lost Children","1995",7.7,"54753","R","112 min","Adventure|Drama|Fantasy|Mystery|Sci-Fi","tt0101700","tt0118583","tt0487928"
"30","tt0115012","Shanghai Triad","1995",7.2,"4122","R","108 min","Crime|Drama","tt0473444","tt0110081","tt0101640"
"31","tt0112792","Dangerous Minds","1995",6.4,"37312","R","99 min","Drama","tt0106473","tt0113987","tt0112641"
"32","tt0114746","Twelve Monkeys","1995",8.1,"450483","R","129 min","Mystery|Sci-Fi|Thriller","tt0088846","tt0109456","tt0120669"
"33","tt0114952","Wings of Courage","1995",6.6,"471","G","40 min","Adventure|Romance|IMAX","tt0120102","tt0082484","tt0095800"
"34","tt0112431","Babe","1995",6.8,"92540","G","91 min","Children|Drama","tt0113199","tt0104940","tt0087755"
"35","tt0112637","Carrington","1995",6.9,"4351","R","121 min","Drama|Romance","tt0117582","tt0107207","tt0212827"
"36","tt0112818","Dead Man Walking","1995",7.6,"71744","R","122 min","Crime|Drama","tt0150216","tt0106519","tt0103850"
"37","tt0112697","Clueless","1995",6.8,"117619","PG-13","97 min","Comedy|Romance","tt0466839","tt0120770","tt0217630"
"38","tt0112749","Cry, the Beloved Country","1995",6.9,"1404","PG-13","106 min","Drama","tt0118927","tt0099566","tt0107808"
"39","tt0114279","Richard III","1995",7.5,"11351","R","104 min","Drama|War","tt0111709","tt0083693","tt0120710"
"40","tt0112819","Dead Presidents","1995",6.8,"14841","R","119 min","Action|Crime|Drama","tt0107554","tt1037705","tt0179074"
"41","tt0114272","Restoration","1995",6.7,"7423","R","117 min","Drama","tt0425055","tt0824758","tt0098356"
"42","tt0113855","Mortal Kombat","1995",5.8,"79687","PG-13","101 min","Action|Adventure|Fantasy","tt0370263","tt1509767","tt0119707"
"43","tt0114681","To Die For","1995",6.8,"34139","R","106 min","Comedy|Drama|Thriller","tt0097240","tt0106834","tt0363589"
"44","tt0113347","How to Make an American Quilt","1995",6.2,"8258","PG-13","109 min","Drama|Romance","tt0166252","tt0112346","tt0113321"
"45","tt0114369","Se7en","1995",8.6,"991909","R","127 min","Mystery|Thriller","tt1568346","tt2267998","tt0119174"
"46","tt0114148","Pocahontas","1995",6.6,"115333","G","81 min","Animation|Children|Drama|Musical|Romance","tt0100477","tt0120910","tt0112453"
"47","tt0114916","When Night Is Falling","1995",6.8,"5214","R","94 min","Drama|Romance","tt0178737","tt0114885","tt0113627"
"48","tt0114814","The Usual Suspects","1995",8.6,"718172","R","106 min","Crime|Mystery|Thriller","tt0118636","tt0237572","tt0112722"
"49","tt0113819","Mighty Aphrodite","1995",7.1,"31011","R","95 min","Comedy|Drama|Romance","tt0116242","tt0079522","tt0089853"
"50","tt0110299","Lamerica","1994",7.7,"1693","N/A","116 min","Adventure|Drama","tt0106473","tt0113952","tt0113540"
"51","tt0112499","The Big Green","1995",5.4,"6710","PG","100 min","Children|Comedy","tt0109067","tt0110363","tt0116165"
"52","tt0113158","Georgia","1995",6.4,"2305","R","115 min","Drama","tt0083232","tt0078326","tt0116745"
"53","tt0113321","Home for the Holidays","1995",6.6,"8981","PG-13","103 min","Drama","tt0171433","tt0361841","tt1321860"
"54","tt0110877","Il Postino: The Postman","1994",7.8,"25577","PG","108 min","Comedy|Drama|Romance","tt0099334","tt0120594","tt0087803"
"55","tt0112714","The Confessional","1995",7.6,"1352","NOT RATED","100 min","Drama|Mystery","tt0060176","tt0415932","tt1459012"
"56","tt0113419","The Indian in the Cupboard","1995",5.9,"20328","PG","96 min","Adventure|Children|Fantasy","tt0083791","tt0087755","tt0113089"
"57","tt0116260","Eye for an Eye","1996",6.1,"9525","R","101 min","Drama|Thriller","tt0092632","tt0087231","tt0074860"
"58","tt0113862","Mr. Holland's Opus","1995",7.3,"29795","PG","143 min","Drama","tt0104868","tt0120701","tt0096928"
"59","tt0116126","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","1996",6.6,"37036","R","89 min","Comedy|Crime","tt0335245","tt0381707","tt2404463"
"60","tt0118002","Two If by Sea","1996",5.2,"4465","R","96 min","Comedy|Romance","tt0109758","tt0110955","tt0119229"
"61","tt0115683","Bio-Dome","1996",4.4,"21170","PG-13","88 min","Comedy","tt0113228","tt0112346","tt0112896"
"62","tt0116839","Lawnmower Man 2: Beyond Cyberspace","1996",2.4,"7798","PG-13","93 min","Action|Sci-Fi|Thriller","tt0117688","tt0120685","tt0199753"
"63","tt0113149","French Twist","1995",6.4,"3674","R","104 min","Comedy|Romance","tt0216787","tt0098520","tt0103030"
"64","tt0113118","Friday","1995",7.3,"72381","R","91 min","Comedy","tt0117603","tt0120768","tt0266465"
"65","tt0116367","From Dusk Till Dawn","1996",7.3,"213945","R","108 min","Action|Comedy|Horror|Thriller","tt0113101","tt0112851","tt0133751"
"66","tt0113010","Fair Game","1995",4.1,"9973","R","91 min","Action","tt0114576","tt0112401","tt0112851"
"67","tt0113537","Kicking and Screaming","1995",7.1,"6916","R","96 min","Comedy|Drama","tt1234654","tt2347569","tt0119717"
"68","tt0113828","Les Misérables","1995",7.5,"3151","R","175 min","Drama|War","tt0283883","tt0889652","tt0061138"
"69","tt0115644","Bed of Roses","1996",6,"6692","PG","87 min","Drama|Romance","tt0106387","tt0114388","tt0114117"
"70","tt0115676","Big Bully","1996",4.5,"3650","PG","90 min","Comedy|Drama","tt0082418","tt0083972","tt0120694"
"71","tt0114367","Screamers","1995",6.4,"19673","R","108 min","Action|Sci-Fi|Thriller","tt0118647","tt0104743","tt0160009"
"72","tt0112744","The Crossing Guard","1995",6.4,"10399","R","111 min","Action|Crime|Drama|Thriller","tt0102116","tt0237572","tt0758758"
"73","tt0116731","The Juror","1996",5.6,"13707","R","118 min","Drama|Thriller","tt0108551","tt0149151","tt0109635"
"74","tt0112445","The White Balloon","1995",7.8,"4509","UNRATED","85 min","Children|Drama","tt0499537","tt0051745","tt0037536"
"75","tt0114660","Things to Do in Denver When You're Dead","1995",6.8,"22005","R","115 min","Crime|Drama|Romance","tt0119468","tt0260866","tt2312718"
"76","tt0112379","Antonia's Line","1995",7.5,"6686","R","102 min","Comedy|Drama","tt0119723","tt0114885","tt0114681"
