"","id","imdbID","Title","Year","imdbRating","imdbVotes","Rated","Runtime","genres","r1","r2","r3","Plot"
"1",1,"tt0114709","Toy Story","1995",8.3,"599356","G","81 min","Adventure|Animation|Children|Comedy|Fantasy","tt0120363","tt0120623","tt0317219","A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
"2",2,"tt0113497","Jumanji","1995",6.9,"200508","PG","104 min","Adventure|Children|Fantasy","tt0097523","tt0102803","tt0132477","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game."
"3",3,"tt0113228","Grumpier Old Men","1995",6.6,"18747","PG-13","101 min","Comedy|Romance","tt0091790","tt0107050","tt0094006","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
"4",4,"tt0114885","Waiting to Exhale","1995",5.6,"7265","R","124 min","Comedy|Drama|Romance","tt0361620","tt0119313","tt0120703","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender."
"5",5,"tt0113041","Father of the Bride Part II","1995",5.9,"25938","PG","106 min","Comedy","tt0101862","tt0092605","tt0110093","In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
"6",6,"tt0113277","Heat","1995",8.2,"420056","R","170 min","Action|Crime|Thriller","tt0083190","tt2717822","tt0104691","A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist."
"7",7,"tt0114319","Sabrina","1995",6.2,"29244","PG","127 min","Comedy|Romance","tt0084805","tt0079100","tt0089755","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
"8",8,"tt0112302","Tom and Huck","1995",5.6,"7224","PG","97 min","Adventure|Children","tt0118755","tt0101452","tt0356634","Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low."
"9",9,"tt0114576","Sudden Death","1995",5.7,"25137","R","111 min","Action","tt0111438","tt0100224","tt0091875","A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals."
"10",10,"tt0113189","GoldenEye","1995",7.2,"195920","PG-13","130 min","Action|Adventure|Thriller","tt0381061","tt0120746","tt0190865","James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead."
"11",11,"tt0112346","The American President","1995",6.8,"42208","PG-13","114 min","Comedy|Drama|Romance","tt0090103","tt0398375","tt0098635","Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but ""politics is perception"" and sparks fly anyway."
"12",12,"tt0112896","Dracula: Dead and Loving It","1995",5.8,"29536","PG-13","88 min","Comedy|Horror","tt0107977","tt0100475","tt0072431","Mel Brooks' parody of the classic vampire story and its famous film adaptations."
"13",13,"tt0112453","Balto","1995",7.1,"29480","G","78 min","Adventure|Animation|Children","tt0101329","tt0108526","tt0110357","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
"14",14,"tt0113987","Nixon","1995",7.1,"23645","R","192 min","Drama","tt0107096","tt0101761","tt0102138","A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame."
"15",15,"tt0112760","Cutthroat Island","1995",5.6,"20647","PG-13","124 min","Action|Adventure|Romance","tt0098987","tt0106582","tt0116908","A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure."
"16",16,"tt0112641","Casino","1995",8.2,"323159","R","178 min","Crime|Drama","tt0099685","tt0081398","tt0070379","Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire."
"17",17,"tt0114388","Sense and Sensibility","1995",7.7,"76082","PG","136 min","Drama|Romance","tt0111797","tt0134154","tt0190332","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites."
"18",18,"tt0113101","Four Rooms","1995",6.7,"76577","R","98 min","Comedy","tt0401792","tt0462322","tt0116367","Four interlocking tales that take place in a fading hotel on New Year's Eve."
"19",19,"tt0112281","Ace Ventura: When Nature Calls","1995",6.3,"156508","PG-13","90 min","Comedy","tt0240468","tt0119807","tt0112760","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
"20",20,"tt0113845","Money Train","1995",5.6,"31657","R","110 min","Action|Comedy|Crime|Drama|Thriller","tt0098524","tt0094035","tt0102945","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him."
"21",21,"tt0113161","Get Shorty","1995",6.9,"61884","R","105 min","Comedy|Crime|Thriller","tt0106220","tt0106941","tt0111127","A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job."
