"id","imdbID","r1","r2","r3"
"1","tt0120894","tt0091554","tt0077234","tt0105411"
"2","tt0163676","tt0167404","tt0120620","tt0093036"
"3","tt0161081","tt0109830","tt0104070","tt0162222"
"4","tt0210234","tt0266860","tt0190641","tt0347791"
"5","tt0052561","tt0037008","tt0037691","tt0043132"
"6","tt0104299","tt0114781","tt0113481","tt0113492"
"7","tt0079257","tt0114885","tt0113101","tt0113845"
"8","tt0064615","tt0054953","tt0055824","tt0091055"
"9","tt0076716","tt0112453","tt0114148","tt0117110"
"10","tt0054749","tt0058335","tt0065777","tt0057171"
"11","tt0103241","tt0095031","tt0104452","tt0113419"
"12","tt0105813","tt0093640","tt0109890","tt0292506"
"13","tt0080310","tt0097239","tt0086423","tt0101465"
"14","tt0068555","tt0066808","tt0079522","tt0104466"
"15","tt0077742","tt0107507","tt0070707","tt0075686"
"16","tt0073312","tt0107507","tt0070707","tt0075686"
"17","tt0089276","tt0098022","tt0055031","tt0004972"
"18","tt0092048","tt0112556","tt0113756","tt0105652"
"19","tt0205461","tt0107131","tt0075807","tt0120595"
"20","tt0144528","tt0117218","tt0343660","tt0114694"
"21","tt0144201","tt0117477","tt0191636","tt0363532"
"22","tt0171865","tt0423409","tt0116722","tt0120490"
"23","tt0174480","tt0110950","tt0115742","tt0099487"
"24","tt0200550","tt0093822","tt0116790","tt0158371"
"25","tt0164052","tt0120201","tt0100802","tt0093870"
"26","tt0186566","tt0083943","tt0107808","tt0080472"
"27","tt0206226","tt0112570","tt0109028","tt0092610"
"28","tt0195234","tt1371155","tt0337909","tt0391304"
"29","tt0052646","tt0047573","tt0051622","tt0056931"
"30","tt0080472","tt0083943","tt0091187","tt0075029"
"31","tt0106627","tt0112438","tt0116260","tt0114367"
"32","tt0065938","tt0065207","tt0065134","tt0085678"
"33","tt0095863","tt0079714","tt0110823","tt0138703"
"34","tt0110823","tt0079714","tt0138703","tt0095863"
"35","tt0138703","tt0079714","tt0110823","tt0095863"
"36","tt0095925","tt0116367","tt0114825","tt0114194"
"37","tt0099005","tt0105477","tt0096098","tt0120347"
"38","tt0086320","tt0116367","tt0117002","tt0114825"
"39","tt0098384","tt0076095","tt0077289","tt0076843"
"40","tt0049189","tt0092559","tt0062711","tt0064612"
"41","tt0071650","tt0091651","tt0059297","tt0093206"
"42","tt0111187","tt0116827","tt0150377","tt0212827"
"43","tt0038975","tt0036716","tt0041430","tt0113690"
"44","tt0065206","tt0064638","tt0112722","tt0114369"
"45","tt0251739","tt0300274","tt0399877","tt0436078"
"46","tt0234853","tt0114885","tt0113537","tt0115639"
"47","tt0204709","tt0174330","tt0114885","tt0113627"
"48","tt0163983","tt0116213","tt0094761","tt0110475"
"49","tt0173716","tt0111127","tt0075936","tt0126604"
"50","tt0233687","tt0418753","tt0141716","tt1705977"
"51","tt0191397","tt0113228","tt0091790","tt0327247"
"52","tt0209958","tt0114852","tt0106452","tt0111003"
"53","tt0188640","tt0084726","tt0069113","tt0095709"
"54","tt0236388","tt0116414","tt0091939","tt0096054"
"55","tt0095705","tt0102510","tt0110622","tt0091877"
"56","tt0102510","tt0095705","tt0110622","tt0091877"
"57","tt0032881","tt0034946","tt0031381","tt0028944"
"58","tt0046303","tt0035417","tt0049261","tt0034012"
"59","tt0053318","tt0039420","tt0056937","tt0046754"
"60","tt0059017","tt0066049","tt0061385","tt0056217"
"61","tt0088206","tt0089961","tt0081534","tt0076759"
"62","tt0049967","tt0047573","tt0051622","tt0080354"
"63","tt0160009","tt0118647","tt0114367","tt0283160"
"64","tt0204946","tt0309530","tt0452594","tt1068680"
"65","tt0209322","tt0118702","tt0120693","tt0254099"
"66","tt0144964","tt0091203","tt0102034","tt0113855"
"67","tt0259207","tt0278488","tt0109508","tt0114805"
"68","tt0187696","tt1667310","tt0381966","tt0813547"
"69","tt0171580","tt0119361","tt0119517","tt0947802"
"70","tt0190798","tt0220580","tt0114885","tt0113277"
"71","tt0204626","tt0086154","tt0286594","tt0229440"
"72","tt0202677","tt0114558","tt0107983","tt0269347"
"73","tt0181875","tt0116695","tt0098258","tt0105415"
"74","tt0211938","tt0120008","tt0455944","tt0139654"
"75","tt0134630","tt0115951","tt0116442","tt0102014"
"76","tt0210717","tt0120274","tt0119586","tt0090636"
"77","tt0182508","tt0116594","tt0254099","tt0097635"
"78","tt0181836","tt0426592","tt1020885","tt0113101"
"79","tt0164212","tt0109303","tt0107286","tt0116409"
"80","tt0192731","tt0276816","tt0113690","tt0054215"
"81","tt0206420","tt0113819","tt0093516","tt0259711"
"82","tt0168629","tt0276919","tt0115751","tt0154421"
"83","tt0218839","tt0470765","tt0118111","tt0119053"
"84","tt0211219","tt0112646","tt0107472","tt0109339"
"85","tt0222850","tt1055292","tt0265208","tt0333766"
"86","tt0210075","tt1131734","tt0109450","tt0109035"
"87","tt0210945","tt0109842","tt0108002","tt0120793"
"88","tt0093177","tt0113690","tt0095294","tt0116367"
"89","tt0095294","tt0103678","tt0093177","tt0113690"
"90","tt0104409","tt0096426","tt0108517","tt0116367"
"91","tt0053219","tt0032635","tt0051622","tt0034398"
"92","tt0088184","tt0090967","tt0102536","tt0097940"
"93","tt0055608","tt0069113","tt0078856","tt0054038"
"94","tt0060397","tt0046672","tt0070723","tt0061584"
"95","tt0040068","tt0053271","tt0035096","tt0044762"
"96","tt0032234","tt0032828","tt0033945","tt0014538"
"97","tt0046876","tt0045920","tt0048696","tt0050539"
"98","tt0024184","tt0026138","tt0021884","tt0023293"
"99","tt0036261","tt0034398","tt0041503","tt0058230"
"100","tt0088024","tt0070909","tt0107978","tt0120207"
"101","tt0084695","tt0093476","tt0114825","tt0109592"
"102","tt0091990","tt0116367","tt0117002","tt0114825"
"103","tt0215545","tt0116414","tt0096054","tt0100168"
"104","tt0210584","tt0114885","tt0113537","tt0115639"
"105","tt0259974","tt0808506","tt1474276","tt2140203"
"106","tt0208988","tt0111255","tt0097770","tt0113277"
"107","tt0067128","tt0319531","tt0077394","tt0159382"
"108","tt0212338","tt0290002","tt0118655","tt0145660"
"109","tt0180093","tt0138704","tt0414993","tt1125849"
"110","tt0170691","tt0117913","tt0090060","tt0134273"
"111","tt0208874","tt0158583","tt0272020","tt0999913"
"112","tt0205271","tt0110907","tt0108122","tt0105151"
"113","tt0213790","tt0103859","tt0116448","tt0099800"
"114","tt0160484","tt0116095","tt0119791","tt0092842"
"115","tt0066832","tt0075754","tt0067774","tt0113277"
"116","tt0075754","tt0066832","tt0112714","tt0108260"
"117","tt0054387","tt0032762","tt0061852","tt0057372"
"118","tt0113269","tt0098319","tt0060086","tt0054310"
"119","tt0089200","tt0112896","tt0099700","tt0093220"
"120","tt0093091","tt0114825","tt0109592","tt0116365"
"121","tt0058708","tt0049314","tt0061170","tt0054188"
"122","tt0041094","tt0038166","tt0046183","tt0038718"
"123","tt0038988","tt0020629","tt0056264","tt0038235"
"124","tt0037638","tt0037008","tt0037101","tt0040723"
"125","tt0249462","tt0976051","tt0274558","tt0477302"
"126","tt0230030","tt0117108","tt0107048","tt0114571"
"127","tt0223897","tt0120647","tt0117998","tt0119896"
"128","tt0082307","tt0092991","tt0093629","tt0080761"
"129","tt0111512","tt0113326","tt0104558","tt0091431"
"130","tt0229260","tt0116367","tt0114825","tt0114194"
"131","tt0219952","tt0117038","tt0113161","tt0110538"
"132","tt0160127","tt0305357","tt1596350","tt0184894"
"133","tt0146984","tt0110932","tt0119314","tt0095638"
"134","tt0185431","tt0280590","tt0364751","tt0110006"
"135","tt0203019","tt0472198","tt0120169","tt1433108"
"136","tt0199753","tt0453467","tt0116839","tt0117688"
"137","tt0197096","tt0286499","tt0361411","tt0963743"
"138","tt0203230","tt0466893","tt0110588","tt0111001"
"139","tt0066995","tt0058150","tt0070328","tt0071807"
"140","tt0074452","tt0063121","tt0052027","tt0057115"
"141","tt0216216","tt0120347","tt0105477","tt0118688"
"142","tt0186894","tt0361693","tt1032825","tt0112346"
"143","tt0170016","tt0088161","tt1396218","tt0112384"
"144","tt0230591","tt0379557","tt0455590","tt1183919"
"145","tt0213203","tt0134067","tt0114709","tt0113198"
"146","tt0211181","tt0120855","tt0113198","tt0115433"
"147","tt0213847","tt0114808","tt0120731","tt0095765"
"148","tt0180073","tt0107969","tt0096332","tt0080117"
"149","tt0217869","tt0167404","tt0286106","tt0368447"
"150","tt0190332","tt0114388","tt0111797","tt0134154"
"151","tt0190374","tt0112760","tt0111301","tt0107362"
"152","tt0228750","tt0118971","tt0109642","tt0086859"
"153","tt0190865","tt0113189","tt0110678","tt0120746"
"154","tt0086993","tt0109890","tt0118928","tt0093640"
"155","tt0093748","tt0088847","tt0098554","tt0090305"
"156","tt0096094","tt0090305","tt0119896","tt0088847"
"157","tt0093428","tt0090264","tt0082398","tt0097742"
"158","tt0092106","tt0129167","tt0106364","tt0120913"
"159","tt0094291","tt0110632","tt0120399","tt1615065"
"160","tt0096969","tt0113987","tt0107096","tt0091763"
"161","tt0096219","tt0113987","tt0110632","tt0107096"
"162","tt0088850","tt0095963","tt0099044","tt0083511"
"163","tt0208092","tt0120735","tt0291502","tt0365686"
"164","tt0095927","tt0091445","tt0105391","tt0114885"
"165","tt0241303","tt0108550","tt0124315","tt0989757"
"166","tt0242423","tt0366551","tt0109443","tt0111400"
"167","tt0120917","tt0371606","tt0118829","tt0198781"
"168","tt0183659","tt0800308","tt0113987","tt0758758"
"169","tt0207201","tt0337741","tt0457939","tt1230414"
"170","tt0181536","tt0114681","tt0106834","tt0102494"
"171","tt0219699","tt0106308","tt0120324","tt0099365"
"172","tt0247196","tt0115632","tt0401383","tt0113987"
"173","tt0162222","tt0109830","tt0161081","tt0442933"
"174","tt0218967","tt0367479","tt0120812","tt0091738"
"175","tt0200720","tt1700844","tt0113952","tt0095037"
"176","tt0212346","tt0115580","tt0107050","tt0251127"
"177","tt0190590","tt0093822","tt0138524","tt0118715"
"178","tt0210299","tt0092890","tt0117631","tt0116790"
"179","tt0120202","tt0096259","tt0252503","tt0360009"
"180","tt0219653","tt0183678","tt1502404","tt1179891"
"181","tt0149624","tt0117666","tt0119314","tt0989757"
"182","tt0218182","tt0094155","tt0120885","tt0093105"
"183","tt0146309","tt0118928","tt0093640","tt0292506"
"184","tt0181865","tt2053463","tt0114788","tt0120780"
"185","tt0218378","tt0116722","tt0345061","tt0120490"
"186","tt0189998","tt0117002","tt0324127","tt0101420"
"187","tt0093223","tt0102048","tt0096259","tt0252503"
"188","tt0097662","tt0105226","tt0128442","tt0110308"
"189","tt0083564","tt0068853","tt0080140","tt0043265"
"190","tt0101757","tt0090887","tt0282687","tt0331933"
"191","tt0084434","tt0095119","tt0109642","tt0118971"
"192","tt0053580","tt0054757","tt0063035","tt0035896"
"193","tt0090670","tt0142192","tt0098994","tt0116287"
"194","tt0072735","tt0068931","tt0068786","tt0073092"
"195","tt0049233","tt0033253","tt0052618","tt0035093"
"196","tt0107007","tt0279111","tt0080979","tt0080310"
"197","tt0218817","tt0113957","tt0109444","tt0120148"
"198","tt0238948","tt0780534","tt1251757","tt0110475"
"199","tt0206275","tt0108265","tt0393162","tt0092890"
"200","tt0194218","tt0114681","tt0115734","tt0109093"
"201","tt0237572","tt0114814","tt0112744","tt0102116"
"202","tt0176883","tt0116151","tt0113538","tt0108255"
"203","tt0102388","tt0067803","tt0078199","tt0056592"
"204","tt0095690","tt0109783","tt0107050","tt0115639"
"205","tt0105165","tt0035423","tt0113117","tt0119528"
"206","tt0069897","tt0071517","tt0068273","tt0066830"
"207","tt0071517","tt0069897","tt0068273","tt0066830"
"208","tt0095348","tt0110399","tt0175142","tt0257106"
"209","tt0108451","tt0081207","tt0454824","tt0112346"
"210","tt0186589","tt0113243","tt0112602","tt0110475"
"211","tt0209475","tt0305669","tt0427327","tt1336608"
"212","tt0216800","tt1605769","tt0415932","tt0108149"
"213","tt0092545","tt0101811","tt0109831","tt0119008"
"214","tt0092546","tt0086491","tt0078087","tt0094898"
"215","tt0092605","tt0113041","tt0110093","tt0101862"
"216","tt0092608","tt0058953","tt0084865","tt0084021"
"217","tt0092618","tt0250809","tt0118966","tt0105414"
"218","tt0092644","tt0102266","tt0108399","tt0120660"
"219","tt0086960","tt0095631","tt0092644","tt0299930"
"220","tt0092654","tt0085276","tt0095119","tt0097457"
"221","tt0092695","tt0385690","tt0808506","tt0114709"
"222","tt0092718","tt0108186","tt0116168","tt0243931"
"223","tt0092746","tt0112760","tt0111301","tt0107362"
"224","tt0092783","tt0106455","tt0139668","tt0165854"
"225","tt0092804","tt0083987","tt0108101","tt0075784"
"226","tt0092809","tt0114508","tt0114852","tt0106452"
"227","tt0092842","tt0064002","tt0073453","tt0116095"
"228","tt0092843","tt0043265","tt0083564","tt0083284"
"229","tt0092897","tt0082138","tt0074281","tt0078239"
"230","tt0092948","tt0093200","tt0118663","tt0101891"
"231","tt0092965","tt0108052","tt0073195","tt0118607"
"232","tt0092974","tt0095107","tt0099512","tt0101821"
