"","imdbID","r1","r2","r3"
"1","tt0114709","tt0120363","tt0120623","tt0317219"
"2","tt0113497","tt0097523","tt0102803","tt0132477"
"3","tt0113228","tt0091790","tt0107050","tt0094006"
"4","tt0114885","tt0361620","tt0119313","tt0120703"
"5","tt0113041","tt0101862","tt0092605","tt0110093"
"6","tt0113277","tt0083190","tt2717822","tt0104691"
"7","tt0114319","tt0084805","tt0079100","tt0089755"
"8","tt0112302","tt0118755","tt0101452","tt0356634"
"9","tt0114576","tt0111438","tt0100224","tt0091875"
"10","tt0113189","tt0381061","tt0120746","tt0190865"
"11","tt0112346","tt0090103","tt0398375","tt0098635"
"12","tt0112896","tt0107977","tt0100475","tt0072431"
"13","tt0112453","tt0101329","tt0108526","tt0110357"
"14","tt0113987","tt0107096","tt0101761","tt0102138"
"15","tt0112760","tt0098987","tt0106582","tt0116908"
"16","tt0112641","tt0099685","tt0081398","tt0070379"
"17","tt0114388","tt0111797","tt0134154","tt0190332"
"18","tt0113101","tt0401792","tt0462322","tt0116367"
"19","tt0112281","tt0240468","tt0119807","tt0112760"
"20","tt0113845","tt0098524","tt0094035","tt0102945"
"21","tt0113161","tt0106220","tt0106941","tt0111127"
"22","tt0112722","tt0108185","tt0114369","tt0114814"
"23","tt0112401","tt0122151","tt0093409","tt0097733"
"24","tt0114168","tt0145893","tt0259288","tt0452637"
"25","tt0113627","tt0109340","tt0107611","tt0126859"
"26","tt0114057","tt0278500","tt1235124","tt0109836"
"27","tt0114011","tt0142201","tt0112346","tt0113347"
"28","tt0114117","tt0125439","tt0375735","tt0489327"
"29","tt0112682","tt0101700","tt0118583","tt0487928"
"30","tt0115012","tt0473444","tt0110081","tt0101640"
"31","tt0112792","tt0106473","tt0113987","tt0112641"
"32","tt0114746","tt0088846","tt0109456","tt0120669"
"33","tt0114952","tt0120102","tt0082484","tt0095800"
"34","tt0112431","tt0113199","tt0104940","tt0087755"
"35","tt0112637","tt0117582","tt0107207","tt0212827"
"36","tt0112818","tt0150216","tt0106519","tt0103850"
"37","tt0112697","tt0466839","tt0120770","tt0217630"
"38","tt0112749","tt0118927","tt0099566","tt0107808"
"39","tt0114279","tt0111709","tt0083693","tt0120710"
"40","tt0112819","tt0107554","tt1037705","tt0179074"
"41","tt0114272","tt0425055","tt0824758","tt0098356"
"42","tt0113855","tt0370263","tt1509767","tt0119707"
"43","tt0114681","tt0097240","tt0106834","tt0363589"
"44","tt0113347","tt0166252","tt0112346","tt0113321"
"45","tt0114369","tt1568346","tt2267998","tt0119174"
"46","tt0114148","tt0100477","tt0120910","tt0112453"
"47","tt0114916","tt0178737","tt0114885","tt0113627"
"48","tt0114814","tt0118636","tt0237572","tt0112722"
"49","tt0113819","tt0116242","tt0079522","tt0089853"
"50","tt0110299","tt0106473","tt0113952","tt0113540"
"51","tt0112499","tt0109067","tt0110363","tt0116165"
"52","tt0113158","tt0083232","tt0078326","tt0116745"
"53","tt0113321","tt0171433","tt0361841","tt1321860"
"54","tt0110877","tt0099334","tt0120594","tt0087803"
"55","tt0112714","tt0060176","tt0415932","tt1459012"
"56","tt0113419","tt0083791","tt0087755","tt0113089"
"57","tt0116260","tt0092632","tt0087231","tt0074860"
"58","tt0113862","tt0104868","tt0120701","tt0096928"
"59","tt0116126","tt0335245","tt0381707","tt2404463"
"60","tt0118002","tt0109758","tt0110955","tt0119229"
"61","tt0115683","tt0113228","tt0112346","tt0112896"
"62","tt0116839","tt0117688","tt0120685","tt0199753"
"63","tt0113149","tt0216787","tt0098520","tt0103030"
"64","tt0113118","tt0117603","tt0120768","tt0266465"
"65","tt0116367","tt0113101","tt0112851","tt0133751"
"66","tt0113010","tt0114576","tt0112401","tt0112851"
"67","tt0113537","tt1234654","tt2347569","tt0119717"
"68","tt0113828","tt0283883","tt0889652","tt0061138"
"69","tt0115644","tt0106387","tt0114388","tt0114117"
"70","tt0115676","tt0082418","tt0083972","tt0120694"
"71","tt0114367","tt0118647","tt0104743","tt0160009"
"72","tt0112744","tt0102116","tt0237572","tt0758758"
"73","tt0116731","tt0108551","tt0149151","tt0109635"
"74","tt0112445","tt0499537","tt0051745","tt0037536"
"75","tt0114660","tt0119468","tt0260866","tt2312718"
"76","tt0112379","tt0119723","tt0114885","tt0114681"
"77","tt0114039","tt0114388","tt0114117","tt0115644"
"78","tt0113612","tt0114885","tt0114681","tt0113118"
"79","tt0112365","tt0153464","tt0104779","tt0116209"
"80","tt0118158","tt0103594","tt0955308","tt1528100"
"81","tt0116151","tt0096378","tt0089994","tt0118691"
"82","tt0115697","tt0105793","tt0114694","tt0106400"
"83","tt0113972","tt0107843","tt0085255","tt0102004"
"84","tt0113490","tt0094347","tt0098219","tt0101898"
"85","tt0117002","tt0094947","tt0120699","tt0091578"
"86","tt0114825","tt0111686","tt0096071","tt0098320"
"87","tt0115639","tt0110955","tt0123964","tt0108560"
"88","tt0115759","tt0119094","tt0107076","tt0097202"
"89","tt0113403","tt0107616","tt0105130","tt0109836"
"90","tt0113247","tt0228786","tt0290673","tt0082206"
"91","tt0115907","tt0098273","tt0107497","tt0120749"
"92","tt0115734","tt0362270","tt0838221","tt0128445"
"93","tt0117102","tt0110443","tt0098442","tt0106701"
"94","tt0118040","tt0110308","tt0105226","tt0128442"
"95","tt0116483","tt0142342","tt0437863","tt0762107"
"96","tt0112579","tt0107808","tt0405159","tt0118548"
"97","tt0117110","tt0104940","tt0076137","tt0361089"
"98","tt0112646","tt0107472","tt0109339","tt0109934"
"99","tt0112573","tt0335345","tt0472043","tt0113987"
"100","tt0075314","tt0112641","tt0099685","tt0217505"
"101","tt0113326","tt0104558","tt0116704","tt0106544"
"102","tt0115645","tt0118966","tt0100486","tt0250809"
"103","tt0113774","tt0109836","tt0111742","tt0120520"
"104","tt0112556","tt0240149","tt1805297","tt0113756"
"105","tt0112373","tt0208261","tt0108323","tt0092593"
"106","tt0115033","tt0120801","tt0113277","tt0112641"
"107","tt0116606","tt0111201","tt0129387","tt0408839"
"108","tt0106473","tt0112792","tt0114916","tt0110299"
"109","tt0103859","tt0099800","tt0116448","tt0213790"
"110","tt0109424","tt0212712","tt0109688","tt0112913"
"111","tt0114808","tt0120731","tt0213847","tt0095765"
"112","tt0116324","tt0120188","tt0356721","tt1045658"
"113","tt0110647","tt0116552","tt0048960","tt0066817"
"114","tt0114131","tt0111418","tt0118113","tt0095927"
"115","tt0113107","tt0102573","tt0110322","tt0117093"
"116","tt0113451","tt0067116","tt0160797","tt0080569"
"117","tt0116130","tt0097815","tt0102216","tt0110442"
"118","tt0113756","tt0112556","tt0105652","tt0070506"
"119","tt0113952","tt0200720","tt0095037","tt1232790"
"120","tt0118055","tt0111667","tt0101921","tt0117071"
"121","tt0115685","tt0100395","tt0119942","tt0096463"
"122","tt0112585","tt0117628","tt0280438","tt0114885"
"123","tt0112442","tt0172156","tt1980209","tt0117500"
"124","tt0112342","tt0110657","tt0113114","tt0106965"
"125","tt0112461","tt0231448","tt0099685","tt1616195"
"126","tt0109093","tt0103130","tt0105411","tt0113080"
"127","tt0112384","tt0096446","tt0870111","tt0088161"
"128","tt0114287","tt0119395","tt0098260","tt0108330"
"129","tt0112288","tt0116378","tt0106452","tt0106660"
"130","tt0112462","tt0118688","tt0280486","tt0109446"
"131","tt0061395","tt0058249","tt0066491","tt0075824"
"132","tt0112495","tt0089087","tt0076009","tt0120706"
"133","tt0112541","tt0114478","tt0107282","tt0118851"
"134","tt0109370","tt0124295","tt0361596","tt0117008"
"135","tt0112642","tt0339291","tt0109813","tt0116756"
"136","tt0112688","tt0454848","tt0162677","tt1321511"
"137","tt0112715","tt0099052","tt0106246","tt0397313"
"138","tt0112740","tt0120660","tt0328107","tt1111422"
"139","tt0109508","tt0162346","tt0307987","tt0364955"
"140","tt0112851","tt0285823","tt0104815","tt0985694"
"141","tt0112857","tt0313443","tt0102592","tt0257756"
"142","tt0112864","tt0095016","tt0099810","tt0120657"
"143","tt0112887","tt0119809","tt0127296","tt0113845"
"144","tt0113071","tt0099653","tt0250687","tt0097576"
